Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","TOMS RIVER","NJ","08755","Ocean","0.850671","0.873263","0.846684","0.854857","2 out of 10","3 out of 9","3 out of 10","0.883472","0.908094","0.883858","0.870151","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.901489","0.887729","2 out of 10","0 out of 9","2 out of 10","0.032229","0.023178","0.021943","0.017704","10 out of 10","9 out of 9","10 out of 10"
"310044","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","ONE CAPITAL WAY","PENNINGTON","NJ","08534","Mercer","0.850671","0.873263","0.857094","0.875008","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.893775","0.891727","4 out of 10","0 out of 9","4 out of 10","0.882334","0.907906","0.860163","0.886175","2 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.043779","0.017750","10 out of 10","9 out of 9","10 out of 10"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","ENGLEWOOD","NJ","07631","Bergen","0.850671","0.873263","0.872258","0.878386","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.885367","0.886526","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.901964","0.892138","4 out of 10","0 out of 9","4 out of 10","0.032229","0.023178","0.041304","0.034596","0 out of 10","3 out of 9","3 out of 10"
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","SOMERS POINT","NJ","08244","Atlantic","0.850671","0.873263","0.845823","0.879740","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.905647","0.871331","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.899431","0.895927","5 out of 10","0 out of 9","5 out of 10","0.032229","0.023178","0.029881","0.024140","9 out of 10","8 out of 9","9 out of 10"
"310048","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","110 REHILL AVE","SOMERVILLE","NJ","08876","Somerset","0.850671","0.873263","0.835259","0.844325","0 out of 10","2 out of 9","2 out of 10","0.883472","0.908094","0.875926","0.880383","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.857259","0.907736","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.034727","0.037713","0 out of 10","0 out of 9","0 out of 10"
"310050","SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS","25 POCONO ROAD","DENVILLE","NJ","07834","Morris","0.850671","0.873263","0.856108","0.874821","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.874765","0.897768","6 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.908456","0.929568","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.031267","0.028088","5 out of 10","3 out of 9","5 out of 10"
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","SUMMIT","NJ","07902","Union","0.850671","0.873263","0.880938","0.858193","3 out of 10","0 out of 9","3 out of 10","0.883472","0.908094","0.877207","0.890866","3 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.899919","0.895100","5 out of 10","0 out of 9","5 out of 10","0.032229","0.023178","0.034136","0.021509","10 out of 10","9 out of 9","10 out of 10"
"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","BRICK","NJ","08724","Ocean","0.850671","0.873263","0.850793","0.865532","6 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.883989","0.875841","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.883978","0.896859","6 out of 10","5 out of 9","6 out of 10","0.032229","0.023178","0.029543","0.020003","10 out of 10","9 out of 9","10 out of 10"
"310054","HACKENSACK-UMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","MONTCLAIR","NJ","07042","Essex","0.850671","0.873263","0.853940","0.865038","6 out of 10","5 out of 9","6 out of 10","0.883472","0.908094","0.900299","0.888585","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.893189","0.908684","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.038500","0.026608","6 out of 10","7 out of 9","7 out of 10"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","MOUNT HOLLY","NJ","08060","Burlington","0.850671","0.873263","0.860147","0.867359","7 out of 10","5 out of 9","7 out of 10","0.883472","0.908094","0.866341","0.878814","0 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.886183","0.899233","6 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.028956","0.023346","9 out of 10","9 out of 9","9 out of 10"
"310058","BERGEN REGIONAL MEDICAL CENTER","230 EAST RIDGEWOOD AVE","PARAMUS","NJ","07652","Bergen","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.858955","0.884273","1 out of 10","5 out of 9","5 out of 10","0.882334","0.907906","0.858271","0.873267","0 out of 10","3 out of 9","3 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","PHILLIPSBURG","NJ","08865","Warren","0.850671","0.873263","0.866944","0.867596","7 out of 10","1 out of 9","7 out of 10","0.883472","0.908094","0.899402","0.906378","9 out of 10","8 out of 9","9 out of 10","0.882334","0.907906","0.866410","0.897690","6 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.030880","0.027679","5 out of 10","4 out of 9","5 out of 10"
"310061","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","218A SUNSET ROAD","WILLINGBORO","NJ","08046","Burlington","0.850671","0.873263","0.852605","0.870707","8 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.893571","0.897337","6 out of 10","2 out of 9","6 out of 10","0.882334","0.907906","0.887375","0.891044","4 out of 10","1 out of 9","4 out of 10","0.032229","0.023178","0.032831","0.026179","7 out of 10","6 out of 9","7 out of 10"
"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS","1925 PACIFIC AVENUE","ATLANTIC CITY","NJ","08401","Atlantic","0.850671","0.873263","0.850558","0.880993","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.899564","0.908509","10 out of 10","9 out of 9","10 out of 10","0.882334","0.907906","0.895338","0.897443","6 out of 10","1 out of 9","6 out of 10","0.032229","0.023178","0.033045","0.013755","10 out of 10","9 out of 9","10 out of 10"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET, POST OFFICE BOX  1090","ELMER","NJ","08318","Salem","0.850671","0.873263","0.867025","0.877906","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.890700","0.895808","5 out of 10","2 out of 9","5 out of 10","0.882334","0.907906","0.894414","0.911543","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.027677","0.023590","9 out of 10","9 out of 9","9 out of 10"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","NEW BRUNSWICK","NJ","08901","Middlesex","0.850671","0.873263","0.840057","0.875899","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.892482","0.902135","7 out of 10","6 out of 9","7 out of 10","0.882334","0.907906","0.889286","0.907061","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.032396","0.025942","7 out of 10","7 out of 9","7 out of 10"
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","NEPTUNE","NJ","07754","Monmouth","0.850671","0.873263","0.855285","0.881711","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.915667","0.867848","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.915109","0.899032","6 out of 10","0 out of 9","6 out of 10","0.032229","0.023178","0.025891","0.019022","10 out of 10","9 out of 9","10 out of 10"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","JERSEY CITY","NJ","07302","Hudson","0.850671","0.873263","0.836529","0.875350","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.905338","0.882698","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.879641","0.886756","2 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","0.036445","0.020760","10 out of 10","9 out of 9","10 out of 10"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","LONG BRANCH","NJ","07740","Monmouth","0.850671","0.873263","0.863053","0.874462","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.882267","0.894862","5 out of 10","4 out of 9","5 out of 10","0.882334","0.907906","0.888699","0.906044","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.028695","0.018154","10 out of 10","9 out of 9","10 out of 10"
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","LIVINGSTON","NJ","07039","Essex","0.850671","0.873263","0.865019","0.882928","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.891098","0.900400","7 out of 10","5 out of 9","7 out of 10","0.882334","0.907906","0.884378","0.914443","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.025569","0.031194","2 out of 10","0 out of 9","2 out of 10"
"310081","INSPIRA MEDICAL CENTER WOODBURY","509 N BROAD ST","WOODBURY","NJ","08096","Gloucester","0.850671","0.873263","0.871870","0.871995","9 out of 10","0 out of 9","9 out of 10","0.883472","0.908094","0.881821","0.887827","2 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.882002","0.888410","3 out of 10","2 out of 9","3 out of 10","0.032229","0.023178","0.027752","0.025400","7 out of 10","5 out of 9","7 out of 10"
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","EAST ORANGE","NJ","07018","Essex","0.850671","0.873263","0.892691","0.879025","10 out of 10","0 out of 9","10 out of 10","0.883472","0.908094","0.923528","0.909788","10 out of 10","0 out of 9","10 out of 10","0.882334","0.907906","0.901284","0.910427","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"310084","MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS","600 RIVER AVE","LAKEWOOD","NJ","08701","Ocean","0.850671","0.873263","0.860836","0.858531","4 out of 10","0 out of 9","4 out of 10","0.883472","0.908094","0.895486","0.885034","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.909096","0.889988","3 out of 10","0 out of 9","3 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"310086","JEFFERSON STRATFORD HOSPITAL","18 EAST LAUREL ROAD","STRATFORD","NJ","08084","Camden","0.850671","0.873263","0.834616","0.867856","7 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.884084","0.898470","6 out of 10","5 out of 9","6 out of 10","0.882334","0.907906","0.893089","0.900539","7 out of 10","5 out of 9","7 out of 10","0.032229","0.023178","0.031974","0.022948","10 out of 10","9 out of 9","10 out of 10"
"310091","MEMORIAL HOSPITAL OF SALEM COUNTY","310 WOODSTOWN ROAD","SALEM","NJ","08079","Salem","0.850671","0.873263","0.840119","0.870539","8 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.894741","0.884543","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.860263","0.875040","0 out of 10","3 out of 9","3 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","TRENTON","NJ","08638","Mercer","0.850671","0.873263","0.844430","0.870760","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.880756","0.892162","4 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.884494","0.906159","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.035721","Not Available","Not Available","Not Available","Not Available"
"310096","SAINT MICHAEL'S MEDICAL CENTER","111 CENTRAL AVENUE","NEWARK","NJ","07102","Essex","0.850671","0.873263","0.855075","0.897368","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.910382","0.912032","10 out of 10","9 out of 9","10 out of 10","0.882334","0.907906","0.887277","0.916158","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.053498","Not Available","Not Available","Not Available","Not Available"
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","EDISON","NJ","08818","Middlesex","0.850671","0.873263","0.834181","0.867645","7 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.861840","0.868155","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.855286","0.885680","2 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.031557","0.020525","10 out of 10","9 out of 9","10 out of 10"
"310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","ONE HAMILTON HEALTH PLACE","HAMILTON","NJ","08690","Mercer","0.850671","0.873263","0.837712","0.880903","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.888593","0.882625","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.876006","0.912373","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.033382","0.022336","10 out of 10","9 out of 9","10 out of 10"
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","FREEHOLD","NJ","07728","Monmouth","0.850671","0.873263","0.857660","0.871803","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.903720","0.881022","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.891456","0.899712","7 out of 10","5 out of 9","7 out of 10","0.032229","0.023178","0.031229","0.021385","10 out of 10","9 out of 9","10 out of 10"
"310112","BAYSHORE MEDICAL CENTER","727 N BEERS ST","HOLMDEL","NJ","07733","Monmouth","0.850671","0.873263","0.850975","0.888717","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.891241","0.880769","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.890854","0.894935","5 out of 10","2 out of 9","5 out of 10","0.032229","0.023178","0.032413","0.025266","7 out of 10","7 out of 9","7 out of 10"
"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","MANAHAWKIN","NJ","08050","Ocean","0.850671","0.873263","0.859648","0.869884","8 out of 10","7 out of 9","8 out of 10","0.883472","0.908094","0.877852","0.883238","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.893742","0.902324","8 out of 10","6 out of 9","8 out of 10","0.032229","0.023178","0.040972","0.024347","8 out of 10","9 out of 9","9 out of 10"
"310115","HACKETTSTOWN MEDICAL CENTER","651 WILLOW GROVE ST","HACKETTSTOWN","NJ","07840","Warren","0.850671","0.873263","0.861584","0.870035","8 out of 10","7 out of 9","8 out of 10","0.883472","0.908094","0.905329","0.873485","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.877942","0.879458","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.040362","0.025613","7 out of 10","8 out of 9","8 out of 10"
"310118","HUDSON REGIONAL HOSPITAL","55 MEADOWLANDS PKWY","SECAUCUS","NJ","07094","Hudson","0.850671","0.873263","0.853797","0.873041","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.893375","0.889729","3 out of 10","0 out of 9","3 out of 10","0.882334","0.907906","0.880539","0.908258","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"310119","UNIVERSITY HOSPITAL","150 BERGEN ST","NEWARK","NJ","07101","Essex","0.850671","0.873263","0.847328","0.872567","9 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.884484","0.904357","8 out of 10","8 out of 9","8 out of 10","0.882334","0.907906","0.898054","0.895560","5 out of 10","0 out of 9","5 out of 10","0.032229","0.023178","0.033729","Not Available","Not Available","Not Available","Not Available"
"310130","HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL","250 OLD HOOK ROAD","WESTWOOD","NJ","07675","Bergen","0.850671","0.873263","Not Available","0.875510","10 out of 10","Not Available","10 out of 10","0.883472","0.908094","Not Available","0.868737","0 out of 10","Not Available","0 out of 10","0.882334","0.907906","Not Available","0.913967","10 out of 10","Not Available","10 out of 10","0.032229","0.023178","Not Available","0.027876","5 out of 10","Not Available","5 out of 10"
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","ALBUQUERQUE","NM","87106","Bernalillo","0.850671","0.873263","0.841459","0.876338","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.885795","0.863824","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.862303","0.909775","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.030739","Not Available","Not Available","Not Available","Not Available"
"320002","CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER","455 ST MICHAEL'S DRIVE","SANTA FE","NM","87505","Santa Fe","0.850671","0.873263","0.861046","0.876496","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.884152","0.879492","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.879868","0.883603","1 out of 10","1 out of 9","1 out of 10","0.032229","0.023178","0.027774","0.074984","0 out of 10","0 out of 9","0 out of 10"
"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION DRIVE","LAS VEGAS","NM","87701","San Miguel","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.885200","0.873432","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.870521","0.896380","5 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTER","2669 NORTH SCENIC DRIVE","ALAMOGORDO","NM","88310","Otero","0.850671","0.873263","0.835916","0.850152","0 out of 10","3 out of 9","3 out of 10","0.883472","0.908094","0.880337","0.857396","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.869369","0.872211","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.031007","0.025237","7 out of 10","7 out of 9","7 out of 10"
"320005","SAN JUAN REGIONAL MEDICAL CENTER","801 WEST MAPLE STREET","FARMINGTON","NM","87401","San Juan","0.850671","0.873263","0.850482","0.860835","5 out of 10","4 out of 9","5 out of 10","0.883472","0.908094","0.849288","0.897554","6 out of 10","8 out of 9","8 out of 10","0.882334","0.907906","0.884714","0.911518","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.031365","0.019199","10 out of 10","9 out of 9","10 out of 10"
"320006","EASTERN NEW MEXICO MEDICAL CENTER","405 W COUNTRY CLUB ROAD","ROSWELL","NM","88201","Chaves","0.850671","0.873263","0.838865","0.879738","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.875253","0.890320","3 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.857928","0.869593","0 out of 10","2 out of 9","2 out of 10","0.032229","0.023178","0.030617","0.023651","9 out of 10","9 out of 9","9 out of 10"
"320009","LOVELACE MEDICAL CENTER","601 DR MARTIN LUTHER KING JR AVE NE","ALBUQUERQUE","NM","87102","Bernalillo","0.850671","0.873263","0.842159","0.886823","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.889976","0.887519","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.866951","0.890406","3 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.038264","0.024545","8 out of 10","9 out of 9","9 out of 10"
"320011","PRESBYTERIAN ESPANOLA HOSPITAL","1010 SPRUCE STREET","ESPANOLA","NM","87532","Rio Arriba","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.888625","0.894952","5 out of 10","3 out of 9","5 out of 10","0.882334","0.907906","0.882069","0.913592","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.031907","0.024566","8 out of 10","8 out of 9","8 out of 10"
"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","SILVER CITY","NM","88061","Grant","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.879631","0.884634","1 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.867576","0.884398","1 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.026968","0.026171","7 out of 10","2 out of 9","7 out of 10"
"320017","LOVELACE WOMEN'S HOSPITAL","4701 MONTGOMERY BOULEVARD NE","ALBUQUERQUE","NM","87109","Bernalillo","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.893503","0.888581","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.882001","0.905848","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.034282","0.030022","3 out of 10","3 out of 9","3 out of 10"
"320018","MEMORIAL MEDICAL CENTER","2450 SOUTH TELSHOR BLVD","LAS CRUCES","NM","88011","Dona Ana","0.850671","0.873263","0.858625","0.873400","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.869036","0.892991","4 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.877903","0.879125","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.031690","0.024928","8 out of 10","7 out of 9","8 out of 10"
"320021","PRESBYTERIAN HOSPITAL","1100 CENTRAL AVENUE SE","ALBUQUERQUE","NM","87106","Bernalillo","0.850671","0.873263","0.857809","0.884438","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.884453","0.855076","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.856549","0.886258","2 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.027350","0.021970","10 out of 10","9 out of 9","10 out of 10"
"320022","PLAINS REGIONAL MEDICAL CENTER","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS","NM","88101","Curry","0.850671","0.873263","0.848136","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.860708","0.877112","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.867483","0.872351","0 out of 10","1 out of 9","1 out of 10","0.032229","0.023178","0.029830","0.027227","5 out of 10","3 out of 9","5 out of 10"
"320033","LOS ALAMOS MEDICAL CENTER","3917 WEST ROAD","LOS ALAMOS","NM","87544","Los Alamos","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.883480","0.874811","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.892342","0.880190","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.029924","Not Available","Not Available","Not Available","Not Available"
"320038","REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES","1901 RED ROCK DRIVE","GALLUP","NM","87301","McKinley","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.875233","0.882525","0 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.880186","0.871897","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.031595","Not Available","Not Available","Not Available","Not Available"
"320059","NORTHERN NAVAJO MEDICAL CENTER","US HWY 491 NORTH","SHIPROCK","NM","87420","San Juan","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.887453","0.882752","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.877582","0.898376","6 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"320063","CARLSBAD MEDICAL CENTER","2430 WEST PIERCE STREET","CARLSBAD","NM","88220","Eddy","0.850671","0.873263","0.853255","0.874154","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.893633","0.889406","3 out of 10","0 out of 9","3 out of 10","0.882334","0.907906","0.872975","0.899178","6 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.031445","Not Available","Not Available","Not Available","Not Available"
"320065","LEA REGIONAL MEDICAL CENTER","5419 N LOVINGTON HIGHWAY","HOBBS","NM","88240","Lea","0.850671","0.873263","Not Available","0.861235","5 out of 10","Not Available","5 out of 10","0.883472","0.908094","0.885602","0.901678","7 out of 10","7 out of 9","7 out of 10","0.882334","0.907906","0.881662","0.892196","4 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.037969","Not Available","Not Available","Not Available","Not Available"
"320074","LOVELACE WESTSIDE HOSPITAL","10501 GOLF COURSE ROAD NW","ALBUQUERQUE","NM","87114","Bernalillo","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.878431","0.873352","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.907693","0.900303","7 out of 10","0 out of 9","7 out of 10","0.032229","0.023178","0.029095","0.020060","10 out of 10","9 out of 9","10 out of 10"
"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","LAS CRUCES","NM","88011","Dona Ana","0.850671","0.873263","0.844517","0.877607","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.855598","0.881813","0 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.869969","0.886160","2 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.033222","0.021538","10 out of 10","9 out of 9","10 out of 10"
"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","ROSWELL","NM","88201","Chaves","0.850671","0.873263","Not Available","0.857562","3 out of 10","Not Available","3 out of 10","0.883472","0.908094","0.898471","0.887420","2 out of 10","0 out of 9","2 out of 10","0.882334","0.907906","0.884334","0.882954","1 out of 10","0 out of 9","1 out of 10","0.032229","0.023178","0.028147","0.027461","5 out of 10","1 out of 9","5 out of 10"
"320089","UNM SANDOVAL REGIONAL MEDICAL CENTER","3001 BROADMOOR BLVD NE","RIO RANCHO","NM","87144","Sandoval","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","Not Available","0.874737","0 out of 10","Not Available","0 out of 10","0.882334","0.907906","Not Available","0.899994","7 out of 10","Not Available","7 out of 10","0.032229","0.023178","0.030347","0.030681","2 out of 10","0 out of 9","2 out of 10"
"330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY","12204","Albany","0.850671","0.873263","0.846864","0.881912","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.854785","0.873367","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.863724","0.885684","2 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.027514","Not Available","Not Available","Not Available","Not Available"
"330004","HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","396 BROADWAY","KINGSTON","NY","12401","Ulster","0.850671","0.873263","0.835982","0.873389","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.863762","0.880203","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.854005","0.878655","0 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
